fixture_id,team,player_id,player_name,position,grid,is_starter
1044911,Lyon,529.0,N. Tagliafico,D,2:1,1
1044911,Lyon,519.0,C. Tolisso,M,3:2,1
1044911,Lyon,1456.0,A. Maitland-Niles,M,3:1,1
1044911,Lyon,350856.0,E. Nuamah,M,4:3,1
1044911,Lyon,659.0,M. Caqueret,M,4:2,1
1044911,Lyon,156477.0,R. Cherki,M,4:1,1
1044911,Lyon,3084.0,T. Kadewere,F,5:1,1
1044911,Lyon,41323.0,Mama Baldé,F,0-0,0
1044911,Lyon,238391.0,Jeffinho,F,0-0,0
1044911,Lyon,193720.0,S. Alvero,M,0-0,0
1044911,Lyon,193952.0,J. Lepenant,M,0-0,0
1044911,Lyon,8551.0,R. Riou,G,0-0,0
1044911,Lyon,10561.0,Henrique,D,0-0,0
1044911,Lyon,334914.0,S. Kumbedi,D,0-0,0
1044911,Lyon,270139.0,J. O'Brien,D,0-0,0
1044911,Lyon,270811.0,M. El Arouch,M,0-0,0
1044911,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1044911,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1044911,Paris Saint Germain,257.0,Marquinhos,D,2:3,1
1044911,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1044911,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1044911,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1
1044911,Paris Saint Germain,51494.0,M. Ugarte,M,3:2,1
1044911,Paris Saint Germain,128384.0,Vitinha,M,3:1,1
1044911,Paris Saint Germain,153.0,O. Dembélé,F,4:3,1
1044911,Paris Saint Germain,746.0,Marco Asensio,F,4:2,1
1044911,Paris Saint Germain,278.0,K. Mbappé,F,4:1,1
1044911,Paris Saint Germain,161904.0,B. Barcola,F,0-0,0
1044911,Paris Saint Germain,41585.0,Gonçalo Ramos,F,0-0,0
1044911,Paris Saint Germain,328.0,Fabián Ruiz,M,0-0,0
1044911,Paris Saint Germain,311083.0,C. Ndour,M,0-0,0
1044911,Paris Saint Germain,731.0,K. Navas,G,0-0,0
