player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
Caio Henrique Oliveira Silva,Monaco,Ligue 1,25,Defender,20,19,1712,1,0.37,0.47,0.32,45.8,1.53,75.7,2.37,0.74,0.95,0.95,0.47,0.63,0.63,0.16,0.0,2270,7.496,0.4947,0.05,0.4902,0.9511,1.455,0.3117,0
David Silva,Real Sociedad,La Liga,37,Midfielder,16,15,1115,1,0.16,1.21,0.65,44.1,1.13,83.5,1.45,0.48,0.4,1.94,0.73,1.29,1.05,0.16,0.0,2271,7.521,0.3763,0.0625,0.4866,0.7743,0.844,0.2679,0
Rui Silva,Betis,La Liga,29,Goalkeeper,18,18,1620,0,0.0,0.0,0.0,23.6,0.0,67.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,2272,7.331,0.0,0.0,0.3543,1.0,0.068,-1.3423,0
Thiago Silva,Chelsea,Premier League,38,Defender,20,19,1794,0,0.1,0.5,0.05,72.8,0.2,90.3,1.56,1.46,1.51,0.15,0.1,0.5,0.4,0.05,0.0,2273,7.456,0.6667,0.0,0.5376,0.9967,1.515,0.8886,0
Marco Silvestri,Udinese,Serie A,31,Goalkeeper,21,21,1890,0,0.0,0.0,0.0,22.5,0.0,76.9,0.1,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2274,7.384,0.0,0.0,0.3753,1.0,0.055,-1.0867,0
Abdallah Sima,Angers,Ligue 1,21,Forward,18,10,931,2,0.0,2.33,0.49,12.7,0.97,72.0,1.07,0.19,0.39,1.65,0.49,0.87,1.84,0.0,0.0,2275,7.56,0.297,0.1111111111111111,0.4635,0.5747,0.602,-0.0133,0
Mohamed Simakan,RB Leipzig,Bundesliga,22,Defender,12,11,824,1,0.11,0.76,0.22,61.5,0.22,83.5,1.09,1.09,1.2,1.74,0.33,1.52,1.41,0.0,0.0,2276,7.525,0.1897,0.08333333333333333,0.4557,0.763,1.123,-0.1082,0
Giovanni Simeone,Napoli,Serie A,27,Forward,12,0,180,3,0.0,2.5,2.0,20.5,1.5,70.7,6.0,0.5,0.0,3.5,1.5,2.0,2.0,0.5,0.0,2277,7.628,0.4286,0.25,0.531,0.1667,2.55,0.8083,0
Ellis Simms,Everton,Premier League,22,Forward,2,0,17,0,0.0,0.0,0.0,15.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278,7.375,0.0,0.0,0.3713,0.0944,0.0,-1.1354,0
Eduardo Simoes,Hoffenheim,Bundesliga,20,Defender,4,1,88,0,0.0,0.0,0.0,60.0,0.0,88.2,5.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2279,7.441,0.5,0.0,0.4996,0.2444,2.9,0.4261,0
Moses Simon,Nantes,Ligue 1,27,Midfielder,19,19,1565,5,0.11,1.32,0.34,17.9,1.84,64.3,0.86,0.29,0.46,3.56,1.15,1.26,0.52,0.17,0.0,2280,7.821,0.323,0.2631578947368421,0.5068,0.9152,0.569,0.5137,0
Unai Simon,Athletic Club,La Liga,25,Goalkeeper,21,21,1890,0,0.0,0.0,0.0,22.0,0.0,73.1,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,2281,7.363,0.0,0.0,0.3671,1.0,0.015,-1.1865,0
Lassine Sinayoko,Auxerre,Ligue 1,23,Midfielder,21,14,1188,0,0.15,2.05,0.45,24.0,1.06,73.7,2.27,0.83,0.83,3.64,1.52,1.36,1.44,0.15,0.08,2282,7.356,0.4176,0.0,0.4516,0.6286,1.406,-0.1581,0
