fixture_id,team,player_id,player_name,position,grid,is_starter,match_importance,recent_form,result,performance_score,fatigue_index,defensive_impact,anomaly_z,rating,pass_accuracy,duels_won_pct,goals,assists,minutes,appearances,is_goalkeeper,is_defender,is_midfielder,is_forward
1029862,Paris Saint Germain,278.0,K. Mbappé,F,4:2,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
1029862,Paris Saint Germain,161904.0,B. Barcola,F,4:1,1,0.5084745762711864,0.7333,W,0.35,0.6129,2.6,0.7843,6.733333,0.0,0.5,4.0,0.0,1379.0,25.0,0,0,0,1
1029862,Paris Saint Germain,161904.0,B. Barcola,F,4:1,1,0.5084745762711864,0.7333,W,0.3081,0.6593,2.0,0.591,7.033333,0.0,0.4857142857142857,0.0,0.0,178.0,3.0,0,0,0,1
1029862,Paris Saint Germain,161904.0,B. Barcola,F,4:1,1,0.5084745762711864,0.7333,W,0.3157,0.5278,5.7,0.626,6.8,0.0,0.40860215053763443,1.0,1.0,475.0,10.0,0,0,0,1
1029862,Paris Saint Germain,21104.0,R. Kolo Muani,F,0-0,0,0.5084745762711864,0.7333,W,0.3562,0.5402,5.2,0.8129,6.876923,0.0,0.4030612244897959,6.0,5.0,1264.0,26.0,0,0,0,1
1029862,Paris Saint Germain,21104.0,R. Kolo Muani,F,0-0,0,0.5084745762711864,0.7333,W,0.523,0.6889,0.4,1.5823,7.433333,0.0,0.5,2.0,1.0,186.0,3.0,0,0,0,1
1029862,Paris Saint Germain,21104.0,R. Kolo Muani,F,0-0,0,0.5084745762711864,0.7333,W,0.311,0.5256,3.4,0.6044,6.54,0.0,0.42424242424242425,1.0,0.0,473.0,10.0,0,0,0,1
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0,0.5084745762711864,0.7333,W,0.06,0.5578,0.0,-0.5535,0.0,0.0,0.0,1.0,0.0,251.0,5.0,0,0,0,1
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0,0.5084745762711864,0.7333,W,0.3749,0.6509,6.3,0.8991,7.242105,0.0,0.4722222222222222,4.0,5.0,1113.0,19.0,0,0,0,1
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0,0.5084745762711864,0.7333,W,0.4384,0.4756,1.8,1.192,7.725,0.0,0.7333333333333333,1.0,2.0,214.0,5.0,0,0,0,1
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0,0.5084745762711864,0.7333,W,0.2974,0.2204,1.4,0.5416,6.883333,0.0,0.45454545454545453,0.0,0.0,119.0,6.0,0,0,0,1
1029862,Paris Saint Germain,307835.0,Beraldo,D,0-0,0,0.5084745762711864,0.7333,W,0.4671,0.8641,16.6,1.3244,6.892307,64.0,0.5463917525773195,1.0,0.0,1011.0,13.0,0,1,0,0
1029862,Paris Saint Germain,307835.0,Beraldo,D,0-0,0,0.5084745762711864,0.7333,W,0.4985,0.8978,5.1,1.4693,7.0,69.0,0.4523809523809524,1.0,0.0,404.0,5.0,0,1,0,0
